RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
69.3381,-70.579,,-0.21300000000000097,-2.0519999999999996,-4.577,,,,-7.610099999999999,-7.7148,-7.832599999999999,-8.0159,-8.879199999999999,OAGB,DSS
71.6131,-68.7963,1.6320000000000014,2.225999999999999,0.5309999999999988,-2.1370000000000005,-5.039999999999999,-6.57,-7.84,-8.6656,-9.3873,-9.809999999999999,-10.242899999999999,-11.1944,CAGB,DSS
71.8277,-69.7057,-0.7270000000000003,-2.8759999999999994,-4.804,-7.219999999999999,-8.42,,,-9.654,-9.4759,-9.654499999999999,-9.762699999999999,-10.968499999999999,RSG,DSS
72.1573,-69.3936,,3.4499999999999993,2.4669999999999987,1.1359999999999992,-1.3200000000000003,-3.369999999999999,-5.309999999999999,-8.1534,-9.037899999999999,-9.8431,-10.6543,-13.6554,YSO,DSS
72.3932,-69.097,-5.087,-4.936,-5.254,-5.991999999999999,-6.389999999999999,-6.859999999999999,-7.42,-8.4329,-8.9152,-9.2952,-9.9431,-11.3106,OAGB,DSS
72.669,-68.9719,,2.585000000000001,0.1479999999999997,-3.8789999999999996,-5.369999999999999,-6.82,-8.01,-9.1563,-9.5804,-9.947099999999999,-10.3654,-10.9048,CAGB,DSS
72.8691,-69.9305,,2.7910000000000004,1.0160000000000018,-1.181000000000001,-4.629999999999999,-5.73,-6.34,-7.3873999999999995,-7.909799999999999,-8.4884,-9.318,-11.293399999999998,OAGB,DSS
73.0016,-69.3016,,,,,-0.16999999999999815,-1.0399999999999991,-2.3299999999999983,-4.884,-6.179,-7.417199999999999,-8.817499999999999,-15.3982,YSO,DSS
73.1196,-68.9142,,,,,-0.19000000000000128,-2.039999999999999,-3.59,-6.1875,-7.3384,-8.4668,-9.8902,-14.6756,YSO,DSS
73.1355,-67.0498,,2.3629999999999995,-1.5790000000000006,-4.719999999999999,-6.5,-7.68,,-9.2998,-9.151399999999999,-9.1733,-9.7067,-10.0642,CAGB,DSS
73.2896,-68.2861,1.1709999999999994,0.347999999999999,-1.7949999999999982,-4.949,-6.32,-7.18,-7.51,-7.7881,-7.747399999999999,-7.928899999999999,-8.010399999999999,,OAGB,DSS
73.296,-67.0655,,,,,-0.6799999999999997,-1.6600000000000001,-2.6999999999999993,-5.6647,-6.8893,-8.2636,-9.5581,-15.303799999999999,YSO,DSS
73.3697,-66.0596,,,,,-5.809999999999999,-7.0,,-9.121699999999999,-9.2633,-9.552299999999999,-10.048499999999999,-10.3464,CAGB,DSS
73.3782,-69.2969,-0.4869999999999983,-2.7590000000000003,-4.686999999999999,,,,,-11.0196,-11.0624,-11.3944,-11.9942,-16.6619,RSG,DSS
