RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
69.3381,-70.579,,-0.485000000000001,-2.2579999999999996,-4.69,-6.112,-7.032,-7.328999999999999,-7.610099999999999,-7.7148,-7.832599999999999,-8.0159,-8.879199999999999,OAGB,DSS
71.6131,-68.7963,1.3070000000000015,1.953999999999999,0.32499999999999885,-2.2500000000000004,-3.501999999999999,-5.2379999999999995,-6.802999999999999,-8.6656,-9.3873,-9.809999999999999,-10.242899999999999,-11.1944,CAGB,DSS
71.8277,-69.7057,-1.0520000000000003,-3.1479999999999997,-5.010000000000001,-7.332999999999999,-8.42,-9.248,-9.514999999999999,-9.654,-9.4759,-9.654499999999999,-9.762699999999999,-10.968499999999999,RSG,DSS
72.1573,-69.3936,,3.177999999999999,2.260999999999999,1.0229999999999992,,,-5.6,-8.1534,-9.037899999999999,-9.8431,-10.6543,-13.6554,YSO,DSS
72.3932,-69.097,-5.412,-5.208,-5.46,-6.1049999999999995,-6.339,-6.738999999999999,-7.280999999999999,-8.4329,-8.9152,-9.2952,-9.9431,-11.3106,OAGB,DSS
72.669,-68.9719,,2.3130000000000006,-0.0580000000000003,-3.9919999999999995,-5.2989999999999995,-6.961,-8.152999999999999,-9.1563,-9.5804,-9.947099999999999,-10.3654,-10.9048,CAGB,DSS
72.8691,-69.9305,,2.519,0.8100000000000018,-1.294000000000001,-3.468,-4.741,-5.584,-7.3873999999999995,-7.909799999999999,-8.4884,-9.318,-11.293399999999998,OAGB,DSS
73.0016,-69.3016,,,,,,-1.631999999999998,-2.690999999999999,-4.884,-6.179,-7.417199999999999,-8.817499999999999,-15.3982,YSO,DSS
73.1355,-67.0498,,2.0909999999999993,-1.7850000000000006,-4.832999999999999,-6.5,-7.725,-8.488,-9.2998,-9.151399999999999,-9.1733,-9.7067,-10.0642,CAGB,DSS
73.2896,-68.2861,0.8459999999999994,0.07599999999999896,-2.000999999999998,-5.062,-6.257,-7.212999999999999,-7.532,-7.7881,-7.747399999999999,-7.928899999999999,-8.010399999999999,,OAGB,DSS
73.296,-67.0655,,,,,-1.5799999999999983,-2.375,-3.6340000000000003,-5.6647,-6.8893,-8.2636,-9.5581,-15.303799999999999,YSO,DSS
73.3697,-66.0596,,,,,-5.984,-7.219999999999999,-8.091999999999999,-9.121699999999999,-9.2633,-9.552299999999999,-10.048499999999999,-10.3464,CAGB,DSS
73.3782,-69.2969,-0.8119999999999983,-3.0310000000000006,-4.893,,-9.199,-10.062999999999999,-10.464,-11.0196,-11.0624,-11.3944,-11.9942,-16.6619,RSG,DSS
